"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\index.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 4, 80
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]\beneficiaries\[beneficiariesId]\addNewDiscount\index.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 4, 119
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]\beneficiaries\[beneficiariesId]\index.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 5, 118
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\serviceGroupDetails\[serviceGroupId]\index.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 4, 130
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\updateServiceGroup\[serviceGroupUpdateId]\index.js", "JavaScript", 0, 174, 0, 0, 0, 0, 0, 3, 177
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\updateService\[serviceUpdateId]\index.js", "JavaScript", 0, 180, 0, 0, 0, 0, 0, 4, 184
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\tickets\index.js", "JavaScript", 0, 72, 0, 0, 0, 0, 1, 3, 76
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\tickets\ticketDetails\[ticketId]\index.js", "JavaScript", 0, 537, 0, 0, 0, 0, 4, 8, 549
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\userManagement\newRequests\index.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 4, 42
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\userManagement\newRequests\newRequestDetails\[newRequestDetailId]\index.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 5, 107
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\userManagement\showUsers\index.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 2, 96
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\userManagement\showUsers\userInfoDetails\[userInfoDetailsId]\index.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 3, 70
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\userManagement\showUsers\userServices\[userServiceId]\index.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 3, 86
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\userManagement\showUsers\userServices\[userServiceId]\updateUserService\[updateService]\index.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 3, 158
"d:\Project\AdminPanel\admin-pannel\src\pages\api\hello.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 2, 6
"d:\Project\AdminPanel\admin-pannel\src\pages\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\Project\AdminPanel\admin-pannel\src\server\Service.js", "JavaScript", 0, 582, 0, 0, 0, 0, 68, 13, 663
"d:\Project\AdminPanel\admin-pannel\styles\globals.css", "CSS", 152, 0, 0, 0, 0, 0, 19, 16, 187
"d:\Project\AdminPanel\admin-pannel\tailwind.config.js", "JavaScript", 0, 78, 0, 0, 0, 0, 5, 3, 86
"d:\Project\AdminPanel\admin-pannel\utils\Random.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 152, 13999, 854, 23, 6355, 8, 157, 395, 21943
